,ffr_ave,prob_ffr_cut,US_CPI_growth,US_PCE_growth,US_GDP_growth,US_employment
2018-01-01,1.375,0.29998779296875,,,,
2018-01-02,1.375,-0.1400146484375,,,,
2018-01-03,1.375,-0.1400146484375,,,,
2018-01-04,1.375,-0.149993896484375,,,,
2018-01-05,1.375,-0.149993896484375,,,,
2018-01-06,1.375,-0.149993896484375,,,,
2018-01-07,1.375,-0.149993896484375,,,,
2018-01-08,1.375,-0.149993896484375,,,,
2018-01-09,1.375,-0.149993896484375,,,,
2018-01-10,1.375,-0.149993896484375,,,,
2018-01-11,1.375,-0.149993896484375,,,,
2018-01-12,1.375,-0.149993896484375,,,,
2018-01-13,1.375,-0.149993896484375,,,,
2018-01-14,1.375,-0.149993896484375,,,,
2018-01-15,1.375,-0.149993896484375,,,,
2018-01-16,1.375,-0.149993896484375,,,,
2018-01-17,1.375,-0.149993896484375,,,,
2018-01-18,1.375,-0.149993896484375,,,,
2018-01-19,1.375,-0.149993896484375,,,,
2018-01-20,1.375,-0.149993896484375,,,,
2018-01-21,1.375,-0.149993896484375,,,,
2018-01-22,1.375,-0.149993896484375,,,,
2018-01-23,1.375,-0.149993896484375,,,,
2018-01-24,1.375,-0.149993896484375,,,,
2018-01-25,1.375,-0.149993896484375,,,,
2018-01-26,1.375,-0.149993896484375,,,,
2018-01-27,1.375,-0.149993896484375,,,,
2018-01-28,1.375,-0.149993896484375,,,,
2018-01-29,1.375,-0.149993896484375,,,,
2018-01-30,1.375,-0.149993896484375,,,,
2018-01-31,1.375,-0.149993896484375,,,,
2018-02-01,1.375,-0.17999267578125,0.0026922876006090224,0.0025833193464348536,,0.0026207615784163973
2018-02-02,1.375,-0.170013427734375,,,,
2018-02-03,1.375,-0.170013427734375,,,,
2018-02-04,1.375,-0.170013427734375,,,,
2018-02-05,1.375,-0.170013427734375,,,,
2018-02-06,1.375,-0.170013427734375,,,,
2018-02-07,1.375,-0.170013427734375,,,,
2018-02-08,1.375,-0.170013427734375,,,,
2018-02-09,1.375,-0.170013427734375,,,,
2018-02-10,1.375,-0.170013427734375,,,,
2018-02-11,1.375,-0.170013427734375,,,,
2018-02-12,1.375,-0.170013427734375,,,,
2018-02-13,1.375,-0.170013427734375,,,,
2018-02-14,1.375,-0.17999267578125,,,,
2018-02-15,1.375,-0.170013427734375,,,,
2018-02-16,1.375,-0.170013427734375,,,,
2018-02-17,1.375,-0.170013427734375,,,,
2018-02-18,1.375,-0.170013427734375,,,,
2018-02-19,1.375,-0.170013427734375,,,,
2018-02-20,1.375,-0.170013427734375,,,,
2018-02-21,1.375,-0.170013427734375,,,,
2018-02-22,1.375,-0.170013427734375,,,,
2018-02-23,1.375,-0.17999267578125,,,,
2018-02-24,1.375,-0.17999267578125,,,,
2018-02-25,1.375,-0.17999267578125,,,,
2018-02-26,1.375,-0.170013427734375,,,,
2018-02-27,1.375,-0.170013427734375,,,,
2018-02-28,1.375,-0.170013427734375,,,,
2018-03-01,1.375,-0.470001220703125,0.000192362410782021,0.003966896431248923,,0.001526470071730568
2018-03-02,1.375,-0.470001220703125,,,,
2018-03-03,1.375,-0.470001220703125,,,,
2018-03-04,1.375,-0.470001220703125,,,,
2018-03-05,1.375,-0.480010986328125,,,,
2018-03-06,1.375,-0.480010986328125,,,,
2018-03-07,1.375,-0.480010986328125,,,,
2018-03-08,1.375,-0.480010986328125,,,,
2018-03-09,1.375,-0.489990234375,,,,
2018-03-10,1.375,-0.489990234375,,,,
2018-03-11,1.375,-0.489990234375,,,,
2018-03-12,1.375,-0.480010986328125,,,,
